timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,reviews-v2-78f7489cc8-kfj2q_network,ratings-v1-5f7bb6dbdd-hb8rk_network,productpage-v1-649f4b6b86-h6nsx_network,reviews-v3-7778f74db8-bk7k6_network,reviews-v1-665cdc9c56-bnc58_network,details-v1-bf9f794fb-zxrkg_network
2026-03-24 10:32:00,4.0146879666666635,42.05792006667555,3.1622951666666546,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.76000000000005,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
2026-03-24 10:32:05,7.643756433333341,41.4737796333308,3.2200108000000216,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777779,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:10,7.643756433333341,41.4737796333308,3.2200108000000207,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777778,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:15,7.643756433333341,41.4737796333308,3.2200108000000207,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777778,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:20,7.643756433333341,41.4737796333308,3.2200108000000207,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777778,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:25,7.643756433333341,41.4737796333308,3.2200108000000207,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777778,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:30,7.643756433333341,41.4737796333308,3.2200108000000207,17.050948966668027,69.59187973332821,28.071249499998885,20.680704,291.36896,20.815872,109.817856,109.883392,115.412992,823.6899999999999,628.3377777777778,7264.721111111111,799.0044444444444,284.4844444444445,645.16
2026-03-24 10:32:35,4.913742866666659,63.64182256666026,4.307340999999988,23.59736929999296,10.342011600005208,74.76461579999523,20.549632,291.438592,20.811776,109.887488,112.234496,115.617792,1857.6100000000001,156.25000000000006,3872.987777777778,774.6944444444443,375.0677777777778,626.6677777777778
2026-03-24 10:32:40,4.913742866666659,63.64182256666026,4.307340999999987,23.59736929999296,10.342011600005208,74.76461579999523,20.549632,291.438592,20.811776,109.887488,112.234496,115.617792,1857.6100000000001,156.25,3872.987777777778,774.6944444444443,375.0677777777778,626.6677777777778
2026-03-24 10:32:45,4.913742866666659,63.64182256666026,4.307340999999987,23.59736929999296,10.342011600005208,74.76461579999523,20.549632,291.438592,20.811776,109.887488,112.234496,115.617792,1857.6100000000001,156.25,3872.987777777778,774.6944444444443,375.0677777777778,626.6677777777778
