episode: 132 || reward: 4.6897 || t_min: 3328.1750 || reward_s: 14.4471
episode: 133 || reward: 54.4137 || t_min: 3328.1750 || reward_s: 16.4454
episode: 134 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 16.3232
episode: 135 || reward: 4.6897 || t_min: 3328.1750 || reward_s: 15.7415
episode: 136 || reward: 26.5964 || t_min: 3328.1750 || reward_s: 16.2842
episode: 137 || reward: 5.8966 || t_min: 3328.1750 || reward_s: 15.7648
episode: 138 || reward: 20.6643 || t_min: 3328.1750 || reward_s: 16.0098
episode: 139 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.9093
episode: 140 || reward: 13.0345 || t_min: 3328.1750 || reward_s: 15.7656
episode: 141 || reward: 6.5517 || t_min: 3328.1750 || reward_s: 15.3049
episode: 142 || reward: 5.8966 || t_min: 3328.1750 || reward_s: 14.8345
episode: 143 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 14.7927
episode: 144 || reward: 9.5172 || t_min: 3328.1750 || reward_s: 14.5290
episode: 145 || reward: 15.0312 || t_min: 3328.1126 || reward_s: 14.5541
episode: 146 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.5264
episode: 147 || reward: 7.2414 || t_min: 3328.1126 || reward_s: 14.1621
episode: 148 || reward: 11.2069 || t_min: 3328.1126 || reward_s: 14.0144
episode: 149 || reward: 9.5172 || t_min: 3328.1126 || reward_s: 13.7895
episode: 150 || reward: 5.2759 || t_min: 3328.1126 || reward_s: 13.3638
episode: 151 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 13.3956
episode: 152 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 13.4259
episode: 153 || reward: 32.5246 || t_min: 3328.1126 || reward_s: 14.3808
episode: 154 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.3618
episode: 155 || reward: 40.5114 || t_min: 3328.1126 || reward_s: 15.6692
episode: 156 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.5858
episode: 157 || reward: 5.8966 || t_min: 3328.1126 || reward_s: 15.1013
episode: 158 || reward: 15.8454 || t_min: 3328.1126 || reward_s: 15.1385
episode: 159 || reward: 7.9655 || t_min: 3328.1126 || reward_s: 14.7799
episode: 160 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.7409
episode: 161 || reward: 25.1570 || t_min: 3328.1126 || reward_s: 15.2617
episode: 162 || reward: 11.2069 || t_min: 3328.1126 || reward_s: 15.0589
episode: 163 || reward: 16.5069 || t_min: 3328.1126 || reward_s: 15.1313
episode: 164 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.0748
episode: 165 || reward: 23.2361 || t_min: 3328.1126 || reward_s: 15.4828
episode: 166 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.4087
episode: 167 || reward: 28.4081 || t_min: 3328.1126 || reward_s: 16.0587
episode: 168 || reward: 5.2759 || t_min: 3328.1126 || reward_s: 15.5195
episode: 169 || reward: 23.7810 || t_min: 3328.1126 || reward_s: 15.9326
episode: 170 || reward: 7.9655 || t_min: 3328.1126 || reward_s: 15.5342
episode: 171 || reward: 12.1034 || t_min: 3328.1126 || reward_s: 15.3627
episode: 172 || reward: 7.2414 || t_min: 3328.1126 || reward_s: 14.9566
episode: 173 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 14.9088
episode: 174 || reward: 28.0063 || t_min: 3328.1126 || reward_s: 15.5637
