2026-03-24 17:25:35,551 - INFO - episode:39 reward:2.8 Actions:[[7, 1], [0, 0], [2, 5], [6, 3], [9, 0], [3, 0], [5, 2], [8, 0], [1, 3], [4, 4]]
2026-03-24 17:25:35,552 - INFO - episode:40 reward:1.0 Actions:[[9, 1], [7, 0], [0, 0], [5, 0], [2, 0], [4, 0], [6, 1], [3, 0], [1, 1], [8, 0]]
2026-03-24 17:25:35,554 - INFO - episode:41 reward:0.6000000000000001 Actions:[[3, 0], [0, 0], [7, 0], [8, 0], [9, 2], [2, 0], [4, 0], [1, 1], [5, 1], [6, 0]]
2026-03-24 17:25:35,556 - INFO - episode:42 reward:1.5 Actions:[[3, 1], [6, 2], [5, 2], [7, 3], [9, 0], [8, 1], [4, 5], [0, 5], [1, 5], [2, 4]]
2026-03-24 17:25:35,557 - INFO - episode:43 reward:1.5 Actions:[[0, 0], [5, 2], [6, 0], [3, 0], [9, 1], [8, 0], [1, 1], [7, 1], [2, 1], [4, 3]]
2026-03-24 17:25:35,559 - INFO - episode:44 reward:1.5 Actions:[[4, 1], [9, 0], [3, 0], [6, 1], [5, 3], [1, 1], [2, 2], [0, 2], [7, 0], [8, 0]]
2026-03-24 17:25:35,560 - INFO - episode:45 reward:3.5999999999999996 Actions:[[1, 1], [6, 2], [8, 0], [9, 2], [7, 2], [2, 5], [4, 5], [0, 1], [3, 0], [5, 0]]
2026-03-24 17:25:35,562 - INFO - episode:46 reward:1.0 Actions:[[0, 2], [4, 2], [2, 1], [3, 0], [8, 2], [6, 2], [5, 1], [9, 0], [7, 2], [1, 2]]
2026-03-24 17:25:35,563 - INFO - episode:47 reward:1.0 Actions:[[7, 0], [6, 0], [5, 1], [4, 0], [0, 0], [8, 1], [9, 2], [1, 1], [3, 1], [2, 0]]
2026-03-24 17:25:35,565 - INFO - episode:48 reward:0.6000000000000001 Actions:[[0, 0], [1, 2], [5, 2], [9, 2], [6, 2], [4, 1], [8, 2], [2, 3], [7, 5], [3, 1]]
2026-03-24 17:25:35,566 - INFO - episode:49 reward:0.6000000000000001 Actions:[[9, 1], [7, 2], [6, 2], [8, 1], [5, 0], [4, 0], [2, 0], [3, 0], [1, 1], [0, 1]]
2026-03-24 17:25:35,568 - INFO - episode:50 reward:0.6000000000000001 Actions:[[7, 0], [1, 0], [0, 3], [2, 0], [6, 1], [5, 1], [9, 2], [3, 0], [8, 3], [4, 0]]
2026-03-24 17:25:35,569 - INFO - episode:51 reward:1.0 Actions:[[3, 0], [6, 1], [2, 2], [1, 0], [5, 0], [4, 0], [8, 2], [9, 2], [0, 2], [7, 2]]
2026-03-24 17:25:35,571 - INFO - episode:52 reward:0.30000000000000004 Actions:[[5, 0], [0, 0], [1, 0], [8, 2], [3, 1], [4, 0], [7, 1], [2, 2], [6, 1], [9, 2]]
2026-03-24 17:25:35,572 - INFO - episode:53 reward:0.1 Actions:[[0, 0], [8, 0], [5, 4], [9, 0], [3, 1], [7, 0], [1, 0], [2, 1], [4, 0], [6, 0]]
2026-03-24 17:25:35,574 - INFO - episode:54 reward:0.30000000000000004 Actions:[[8, 0], [7, 1], [3, 0], [9, 1], [6, 0], [5, 1], [4, 2], [1, 0], [2, 1], [0, 0]]
2026-03-24 17:25:35,576 - INFO - episode:55 reward:2.8 Actions:[[7, 3], [9, 5], [6, 0], [1, 0], [4, 2], [5, 1], [3, 3], [8, 0], [2, 1], [0, 0]]
2026-03-24 17:25:35,577 - INFO - episode:56 reward:2.1 Actions:[[5, 0], [8, 2], [2, 1], [3, 1], [9, 0], [7, 1], [6, 2], [4, 1], [0, 3], [1, 0]]
2026-03-24 17:25:35,579 - INFO - episode:57 reward:3.5999999999999996 Actions:[[4, 1], [7, 0], [5, 3], [2, 3], [1, 1], [0, 2], [6, 3], [3, 0], [9, 1], [8, 0]]
2026-03-24 17:25:35,580 - INFO - episode:58 reward:1.0 Actions:[[4, 5], [1, 0], [0, 0], [7, 3], [3, 0], [8, 1], [2, 1], [9, 1], [5, 0], [6, 0]]
2026-03-24 17:25:35,582 - INFO - episode:59 reward:3.5999999999999996 Actions:[[4, 2], [6, 0], [3, 1], [5, 0], [1, 3], [0, 1], [7, 0], [9, 2], [8, 2], [2, 0]]
2026-03-24 17:25:35,583 - INFO - episode:60 reward:1.5 Actions:[[9, 0], [5, 3], [3, 1], [6, 1], [2, 1], [8, 0], [4, 0], [7, 2], [1, 0], [0, 4]]
2026-03-24 17:25:35,585 - INFO - episode:61 reward:1.0 Actions:[[7, 0], [0, 0], [9, 0], [2, 3], [5, 0], [6, 0], [1, 3], [3, 0], [4, 4], [8, 3]]
2026-03-24 17:25:35,586 - INFO - episode:62 reward:1.5 Actions:[[5, 4], [6, 1], [7, 0], [3, 0], [4, 3], [1, 0], [2, 0], [9, 0], [8, 0], [0, 1]]
2026-03-24 17:25:35,588 - INFO - episode:63 reward:2.1 Actions:[[4, 5], [5, 0], [6, 0], [3, 0], [2, 5], [8, 3], [7, 0], [0, 0], [9, 0], [1, 0]]
2026-03-24 17:25:35,590 - INFO - episode:64 reward:0.6000000000000001 Actions:[[4, 0], [1, 0], [2, 3], [3, 0], [7, 0], [0, 2], [9, 3], [5, 1], [6, 0], [8, 0]]
2026-03-24 17:25:35,591 - INFO - episode:65 reward:1.0 Actions:[[7, 0], [0, 0], [6, 0], [5, 2], [2, 0], [8, 3], [1, 0], [3, 0], [9, 2], [4, 2]]
2026-03-24 17:25:35,593 - INFO - episode:66 reward:0.6000000000000001 Actions:[[8, 1], [9, 3], [1, 2], [0, 1], [4, 0], [2, 1], [3, 3], [6, 0], [7, 4], [5, 1]]
2026-03-24 17:25:35,594 - INFO - episode:67 reward:0.1 Actions:[[8, 0], [1, 0], [5, 0], [2, 1], [0, 3], [4, 1], [6, 0], [9, 4], [7, 4], [3, 0]]
2026-03-24 17:25:35,596 - INFO - episode:68 reward:1.5 Actions:[[4, 0], [3, 0], [0, 1], [7, 1], [5, 2], [1, 0], [6, 1], [9, 0], [8, 0], [2, 0]]
2026-03-24 17:25:35,597 - INFO - episode:69 reward:0.6000000000000001 Actions:[[1, 2], [8, 1], [5, 2], [2, 2], [6, 0], [0, 4], [9, 5], [7, 0], [3, 0], [4, 0]]
2026-03-24 17:25:35,599 - INFO - episode:70 reward:0.30000000000000004 Actions:[[9, 0], [5, 0], [1, 0], [0, 0], [8, 4], [7, 0], [6, 0], [4, 0], [2, 2], [3, 2]]
2026-03-24 17:25:35,600 - INFO - episode:71 reward:0.1 Actions:[[7, 0], [8, 0], [5, 2], [6, 0], [9, 1], [0, 2], [4, 2], [3, 1], [1, 0], [2, 1]]
2026-03-24 17:25:35,602 - INFO - episode:72 reward:0.6000000000000001 Actions:[[3, 1], [4, 1], [0, 0], [8, 1], [9, 1], [7, 1], [1, 1], [2, 0], [6, 2], [5, 1]]
2026-03-24 17:25:35,603 - INFO - episode:73 reward:1.0 Actions:[[0, 3], [1, 0], [5, 0], [9, 1], [7, 0], [3, 2], [8, 4], [2, 3], [4, 3], [6, 0]]
2026-03-24 17:25:35,605 - INFO - episode:74 reward:0.6000000000000001 Actions:[[1, 0], [3, 0], [8, 1], [5, 0], [6, 0], [7, 1], [0, 0], [2, 0], [9, 2], [4, 2]]
2026-03-24 17:25:35,607 - INFO - episode:75 reward:2.8 Actions:[[2, 0], [0, 2], [8, 1], [4, 0], [9, 0], [3, 3], [6, 2], [7, 0], [5, 0], [1, 0]]
2026-03-24 17:25:35,608 - INFO - episode:76 reward:1.0 Actions:[[2, 0], [0, 0], [8, 1], [4, 0], [3, 0], [9, 1], [5, 1], [1, 0], [6, 0], [7, 1]]
2026-03-24 17:25:35,616 - INFO - episode:77 reward:4.5 Actions:[[3, 1], [4, 3], [6, 5], [5, 0], [0, 1], [2, 0], [8, 4], [9, 3], [7, 1], [1, 0]]
2026-03-24 17:25:35,617 - INFO - episode:78 reward:0.1 Actions:[[8, 0], [0, 0], [3, 1], [1, 2], [5, 0], [9, 0], [4, 0], [2, 1], [6, 0], [7, 0]]
2026-03-24 17:25:35,619 - INFO - episode:79 reward:3.5999999999999996 Actions:[[0, 0], [5, 3], [6, 5], [1, 3], [4, 5], [8, 2], [2, 0], [9, 0], [7, 3], [3, 0]]
2026-03-24 17:25:35,620 - INFO - episode:80 reward:0.1 Actions:[[8, 2], [7, 2], [6, 2], [9, 0], [0, 2], [5, 0], [1, 3], [3, 2], [4, 1], [2, 1]]
2026-03-24 17:25:35,622 - INFO - episode:81 reward:1.5 Actions:[[7, 1], [2, 0], [9, 0], [4, 0], [3, 5], [5, 0], [1, 0], [6, 1], [0, 0], [8, 1]]
2026-03-24 17:25:35,623 - INFO - episode:82 reward:0.30000000000000004 Actions:[[9, 0], [1, 0], [2, 0], [3, 1], [8, 0], [6, 0], [4, 1], [0, 1], [5, 1], [7, 3]]
2026-03-24 17:25:35,625 - INFO - episode:83 reward:0.1 Actions:[[6, 0], [8, 0], [1, 1], [5, 0], [2, 0], [4, 2], [9, 0], [7, 0], [3, 1], [0, 3]]
2026-03-24 17:25:35,627 - INFO - episode:84 reward:0.1 Actions:[[2, 0], [8, 0], [4, 0], [3, 1], [0, 2], [6, 0], [5, 1], [9, 4], [7, 1], [1, 0]]
2026-03-24 17:25:35,628 - INFO - episode:85 reward:1.5 Actions:[[6, 0], [9, 3], [0, 0], [2, 1], [4, 1], [1, 0], [3, 1], [8, 1], [7, 1], [5, 3]]
2026-03-24 17:25:35,630 - INFO - episode:86 reward:0.6000000000000001 Actions:[[7, 0], [0, 0], [4, 0], [8, 0], [1, 5], [9, 0], [5, 0], [6, 0], [2, 0], [3, 4]]
2026-03-24 17:25:35,631 - INFO - episode:87 reward:0.6000000000000001 Actions:[[3, 5], [1, 0], [4, 2], [8, 0], [7, 2], [2, 0], [9, 4], [6, 0], [0, 1], [5, 0]]
2026-03-24 17:25:35,633 - INFO - episode:88 reward:2.8 Actions:[[8, 3], [9, 1], [1, 0], [3, 5], [0, 2], [6, 1], [5, 1], [4, 1], [2, 1], [7, 1]]
2026-03-24 17:25:35,634 - INFO - episode:89 reward:0.6000000000000001 Actions:[[6, 1], [0, 1], [9, 0], [8, 0], [2, 0], [1, 3], [4, 0], [7, 2], [5, 4], [3, 0]]
2026-03-24 17:25:35,636 - INFO - episode:90 reward:1.0 Actions:[[3, 1], [1, 0], [2, 0], [7, 1], [0, 0], [8, 1], [6, 1], [5, 1], [4, 0], [9, 0]]
