2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:11,790 - INFO - episode:65 totalReward:-100 Actions:[[5, 1], [0, 4], [1, 1], [3, 0], [4, 0], [2, 5]]
2026-03-26 04:06:11,800 - INFO - episode:66 totalReward:-100 Actions:[[1, 1], [0, 3], [5, 5], [2, 2], [4, 4], [3, 5]]
2026-03-26 04:06:11,806 - INFO - episode:67 totalReward:-100 Actions:[[4, 2], [2, 4], [5, 5], [3, 0], [0, 0], [1, 4]]
2026-03-26 04:06:11,812 - INFO - episode:68 totalReward:-100 Actions:[[0, 4], [1, 1], [3, 0], [5, 4], [4, 3], [2, 0]]
2026-03-26 04:06:11,823 - INFO - episode:69 totalReward:807.229496375523 Actions:[[1, 0], [0, 1], [4, 0], [2, 3], [3, 5], [5, 2]]
2026-03-26 04:06:11,833 - INFO - episode:70 totalReward:380.74961304810324 Actions:[[0, 5]]
2026-03-26 04:06:11,842 - INFO - episode:71 totalReward:-100 Actions:[[0, 5], [4, 5], [2, 0], [1, 2], [3, 1], [5, 1]]
2026-03-26 04:06:11,848 - INFO - episode:72 totalReward:-100 Actions:[[4, 1], [0, 4], [5, 2], [3, 2], [1, 2], [2, 2]]
2026-03-26 04:06:11,854 - INFO - episode:73 totalReward:-100 Actions:[[0, 1], [1, 5], [3, 2], [4, 1], [2, 4], [5, 2]]
2026-03-26 04:06:11,863 - INFO - episode:74 totalReward:-100 Actions:[[3, 1], [2, 3], [1, 1], [5, 0], [4, 0], [0, 2]]
2026-03-26 04:06:11,874 - INFO - episode:75 totalReward:-100 Actions:[[3, 1], [2, 0], [1, 1], [0, 2], [4, 2], [5, 5]]
2026-03-26 04:06:11,883 - INFO - episode:76 totalReward:3431.187619045597 Actions:[[3, 0], [1, 0], [2, 1], [0, 1], [5, 1], [4, 1]]
2026-03-26 04:06:11,892 - INFO - episode:77 totalReward:-100 Actions:[[3, 5], [0, 4], [4, 4], [2, 2], [1, 3], [5, 2]]
2026-03-26 04:06:11,901 - INFO - episode:78 totalReward:-100 Actions:[[0, 4], [1, 4], [3, 3], [2, 5], [4, 0], [5, 5]]
2026-03-26 04:06:11,910 - INFO - episode:79 totalReward:-100 Actions:[[2, 0], [4, 1], [5, 1], [0, 1], [3, 1], [1, 2]]
2026-03-26 04:06:11,917 - INFO - episode:80 totalReward:902.6149837491821 Actions:[[1, 0], [4, 1], [0, 1]]
2026-03-26 04:06:11,924 - INFO - episode:81 totalReward:-100 Actions:[[3, 3], [2, 4], [0, 4], [1, 0], [4, 1], [5, 4]]
