2026-03-24 17:26:46,284 - INFO - episode:78 reward:1.5 Actions:[[3, 0], [7, 1], [1, 1], [9, 4], [5, 0], [2, 1], [0, 0], [8, 1], [6, 0], [4, 1]]
2026-03-24 17:26:46,306 - INFO - episode:79 reward:0.30000000000000004 Actions:[[4, 0], [8, 4], [1, 4], [3, 3], [0, 4], [2, 4], [7, 1], [9, 0], [6, 2], [5, 1]]
2026-03-24 17:26:46,330 - INFO - episode:80 reward:151.1871136351224 Actions:[[5, 2], [6, 2], [3, 2], [1, 0], [2, 3], [7, 0], [0, 3], [4, 3], [8, 1], [9, 2]]
2026-03-24 17:26:46,351 - INFO - episode:81 reward:2.8 Actions:[[0, 1], [5, 2], [1, 0], [2, 2], [7, 4], [3, 0], [6, 3], [8, 1], [4, 0], [9, 1]]
2026-03-24 17:26:46,373 - INFO - episode:82 reward:2.8 Actions:[[3, 1], [8, 3], [6, 0], [1, 1], [9, 2], [5, 0], [7, 2], [4, 1], [0, 3], [2, 3]]
2026-03-24 17:26:46,394 - INFO - episode:83 reward:0.1 Actions:[[4, 2], [8, 2], [9, 1], [2, 0], [3, 0], [7, 5], [0, 1], [5, 3], [1, 1], [6, 3]]
2026-03-24 17:26:46,415 - INFO - episode:84 reward:2.1 Actions:[[1, 3], [6, 0], [9, 1], [7, 2], [5, 2], [0, 1], [8, 1], [3, 4], [2, 1], [4, 1]]
2026-03-24 17:26:46,436 - INFO - episode:85 reward:2.1 Actions:[[9, 3], [7, 3], [4, 1], [0, 1], [3, 2], [2, 0], [1, 1], [5, 1], [6, 1], [8, 2]]
2026-03-24 17:26:46,457 - INFO - episode:86 reward:0.6000000000000001 Actions:[[7, 0], [4, 0], [3, 0], [0, 0], [5, 5], [9, 1], [2, 1], [8, 0], [6, 1], [1, 5]]
2026-03-24 17:26:46,479 - INFO - episode:87 reward:1.5 Actions:[[6, 5], [4, 0], [9, 2], [2, 0], [7, 2], [1, 2], [5, 2], [0, 0], [3, 3], [8, 3]]
2026-03-24 17:26:46,500 - INFO - episode:88 reward:3.5999999999999996 Actions:[[1, 3], [4, 1], [2, 2], [8, 5], [0, 2], [6, 1], [3, 2], [5, 1], [9, 1], [7, 1]]
2026-03-24 17:26:46,521 - INFO - episode:89 reward:0.6000000000000001 Actions:[[7, 1], [5, 1], [8, 0], [4, 0], [6, 1], [2, 4], [1, 0], [9, 2], [0, 4], [3, 1]]
2026-03-24 17:26:46,542 - INFO - episode:90 reward:2.1 Actions:[[6, 2], [7, 1], [1, 0], [0, 1], [3, 0], [2, 1], [5, 1], [4, 1], [9, 1], [8, 2]]
2026-03-24 17:26:46,563 - INFO - episode:91 reward:1.5 Actions:[[3, 3], [6, 1], [5, 1], [2, 0], [7, 3], [8, 0], [1, 5], [0, 3], [9, 0], [4, 0]]
